Date,Open,High,Low,Close,Adj Close,Volume
2020-05-11,1565.163818,1599.835205,1415.099976,1459.400024,1453.940674,159502383
2020-05-18,1470.000000,1482.000000,1393.000000,1431.550049,1426.194946,109573853
2020-05-25,1431.550049,1479.750000,1412.000000,1464.400024,1458.921997,68778889
2020-06-01,1480.000000,1618.000000,1475.949951,1581.699951,1575.783203,71420786
2020-06-08,1618.400024,1618.400024,1497.000000,1588.800049,1582.856689,63843642
2020-06-15,1565.000000,1788.800049,1561.099976,1759.400024,1752.818481,134920489
2020-06-22,1773.400024,1804.199951,1711.699951,1741.650024,1735.134888,101690702
2020-06-29,1728.050049,1793.000000,1695.550049,1787.900024,1781.211914,65803540
2020-07-06,1805.000000,1884.599976,1786.250000,1878.050049,1878.050049,87033692
2020-07-13,1903.349976,1978.800049,1798.000000,1911.699951,1911.699951,178737865
2020-07-20,1917.800049,2163.000000,1899.650024,2146.149902,2146.149902,146511842
2020-07-27,2178.800049,2198.800049,2052.800049,2067.100098,2067.100098,164246941
2020-08-03,2051.300049,2196.000000,2000.250000,2146.449951,2146.449951,136425732
2020-08-10,2159.100098,2165.000000,2089.250000,2113.800049,2113.800049,74812299
2020-08-17,2105.000000,2154.000000,2070.100098,2081.850098,2081.850098,66194317
2020-08-24,2091.399902,2150.000000,2047.000000,2116.149902,2116.149902,77175516
2020-08-31,2174.000000,2174.000000,2060.350098,2077.250000,2077.250000,80625962
2020-09-07,2084.000000,2344.949951,2044.250000,2319.750000,2319.750000,140485002
2020-09-14,2325.000000,2369.350098,2276.550049,2305.699951,2305.699951,75731071
2020-09-21,2300.000000,2336.000000,2167.300049,2201.699951,2201.699951,78274802
2020-09-28,2227.000000,2267.000000,2207.050049,2225.250000,2225.250000,41884699
2020-10-05,2244.000000,2309.000000,2201.649902,2233.449951,2233.449951,60054581
2020-10-12,2235.000000,2304.000000,2172.649902,2175.800049,2175.800049,48780669
2020-10-19,2190.050049,2228.699951,2091.000000,2113.050049,2113.050049,63682054
2020-10-26,2101.949951,2101.949951,1991.000000,2054.500000,2054.500000,77718510
2020-11-02,2027.000000,2040.000000,1835.099976,2029.150024,2029.150024,171732441
2020-11-09,2062.100098,2095.000000,1965.000000,2002.300049,2002.300049,101603321
2020-11-16,1996.400024,2085.000000,1895.000000,1899.500000,1899.500000,74861017
2020-11-23,1951.000000,1992.949951,1921.400024,1929.800049,1929.800049,84028582
2020-11-30,1929.800049,1981.099976,1929.800049,1946.750000,1946.750000,40699440
2020-12-07,1940.599976,2038.000000,1940.599976,2005.800049,2005.800049,61762622
2020-12-14,2007.949951,2015.000000,1961.099976,1991.550049,1991.550049,42985815
2020-12-21,2010.000000,2022.000000,1855.250000,1994.150024,1994.150024,51943626
2020-12-28,2006.699951,2018.000000,1975.550049,1987.500000,1987.500000,39999776
2021-01-04,1995.099976,1998.900024,1905.150024,1933.699951,1933.699951,71488263
2021-01-11,1938.800049,1974.949951,1892.500000,1937.449951,1937.449951,66103087
2021-01-18,1949.099976,2120.000000,1923.349976,2049.600098,2049.600098,77371378
2021-01-25,2034.949951,2034.949951,1830.000000,1841.949951,1841.949951,80465928
2021-02-01,1859.400024,1952.000000,1848.000000,1923.750000,1923.750000,70068464
2021-02-08,1933.050049,2078.000000,1927.300049,2041.599976,2041.599976,62329248
2021-02-15,2048.050049,2108.399902,2025.000000,2080.300049,2080.300049,47537306
2021-02-22,2080.000000,2152.000000,1994.949951,2085.800049,2085.800049,61191656
2021-03-01,2110.199951,2219.899902,2062.500000,2178.699951,2178.699951,52474104
2021-03-08,2168.500000,2231.899902,2123.899902,2137.600098,2137.600098,29095551
2021-03-15,2140.050049,2148.899902,1982.800049,2082.000000,2082.000000,51788149
2021-03-22,2071.000000,2109.699951,1973.699951,1994.650024,1994.650024,43841704
2021-03-29,1994.650024,2049.899902,1991.550049,2021.849976,2021.849976,22343889
2021-04-05,2024.949951,2046.900024,1962.099976,1982.050049,1982.050049,38100375
2021-04-12,1959.000000,1961.400024,1900.250000,1932.099976,1932.099976,34932463
2021-04-19,1904.000000,1919.000000,1876.699951,1904.349976,1904.349976,28614046
2021-04-26,1920.000000,2044.500000,1911.500000,1994.500000,1994.500000,43936223
2021-05-03,1966.000000,1979.000000,1906.599976,1931.750000,1931.750000,39133728
2021-05-10,1939.000000,1946.800049,1920.949951,1926.199951,1926.199951,6433879
2021-05-10,1939.000000,1946.800049,1920.949951,1926.199951,1926.199951,6429873
